# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
bian cheng han yu 	變成韓語	c=1 d=1 t=3314
bian cheng yu yan 	編程語言	c=1 d=1 t=3233
bian da le 	變大了	c=1 d=1 t=12047
bian hua 	變化	c=1 d=0.1 t=15469
bian hua hen da le 	變化很大了	c=1 d=1 t=15470
bian le 	變了	c=1 d=1 t=12752
bian ma 	編碼	c=2 d=1.98511 t=4910
bian wei 	變爲	c=1 d=1 t=10195
biao 	表	c=2 d=0.1 t=16296
biao da 	表達	c=0 d=0.1 t=9115
biao ji 	標記	c=1 d=1 t=9983
biao ming 	標明	c=1 d=1 t=13617
biao qian 	標籤	c=3 d=1.0446 t=15093
biao qing 	表情	c=0 d=0.1 t=11881
biao shi 	標示	c=2 d=1 t=13963
biao shi 	表示	c=1 d=1.02774 t=13979
biao zhun 	標準	c=1 d=1 t=15037
bie 	別	c=2 d=0.1 t=11950
bie cai 	別裁	c=0 d=0.1 t=10567
bie cai yuan 	別裁員	c=1 d=1 t=10568
bie chi 	別吃	c=1 d=0.1 t=11478
bie chi le 	別吃了	c=3 d=0.1 t=12768
bie chi nan shou le 	別吃難受了	c=1 d=1 t=5023
bie chi tai cheng le 	別吃太撐了	c=1 d=1 t=11479
bie chu 	別處	c=0 d=0.1 t=4170
bie chu ai da 	別處捱打	c=1 d=1 t=4171
bie chu lai 	別出來	c=0 d=0.1 t=8685
bie de 	別的	c=11 d=1.04952 t=14707
bie de di fang 	別的地方	c=1 d=1 t=2854
bie de dong xi 	別的東西	c=1 d=1 t=3630
bie de qun li 	別的羣裏	c=1 d=1 t=12616
bie dian mi fan 	別點米飯	c=1 d=1 t=3077
bie ji 	別急	c=1 d=1 t=3084
bie jia 	別家	c=0 d=0.1 t=14367
bie jia de 	別家的	c=1 d=1 t=9565
bie kan 	別看	c=0 d=0.1 t=9923
bie kan lu 	別看路	c=1 d=1 t=9924
bie le 	別了	c=1 d=0.1 t=7655
bie le ba 	別了吧	c=1 d=1 t=7656
bie luan 	別亂	c=0 d=0.1 t=12114
bie luan shuo 	別亂說	c=1 d=1 t=12115
bie mu shu 	別木數	c=1 d=1 t=11951
bie ren 	別人	c=3 d=0.100088 t=14120
bie ren de 	別人的	c=1 d=1 t=5825
bie sheng qi le 	別生氣了	c=2 d=1.5599 t=1373
bie shi 	別是	c=1 d=1 t=4376
bie wang le 	別忘了	c=1 d=1 t=169
bie xiang 	別想	c=0 d=0.1 t=12348
bie xiang na me duo 	別想那麼多	c=1 d=1 t=12349
bie xiang zhe zai yao le 	別想着再要了	c=1 d=1 t=4263
bie zheng 	別整	c=1 d=1 t=4278
bie zhuan 	別傳	c=2 d=1.80132 t=8784
bing 	冰	c=0 d=0.1 t=5815
bing bu gao 	並不高	c=1 d=1 t=7521
bing bu shi 	並不是	c=1 d=1 t=8600
bing dian yi xia 	冰點以下	c=1 d=1 t=7703
bing gan 	餅乾	c=0 d=0.1 t=3961
bing gan sha de 	餅乾啥的	c=1 d=1 t=3962
bing mei you 	並沒有	c=1 d=1 t=2722
bing pi yue bing 	冰皮月餅	c=1 d=1 t=5816
bing xiang li 	冰箱裏	c=1 d=1 t=13668
bing zhe ne 	病着呢	c=1 d=1 t=2243
bo 	波	c=0 d=0.1 t=13603
bo fang 	播放	c=3 d=0.382479 t=9683
bo fang she bei 	播放設備	c=1 d=1 t=8468
bo lai pin 	舶來品	c=1 d=1 t=3091
bu 	不	c=17 d=1.15799 t=16041
bu ai shi 	不礙事	c=2 d=1 t=5789
bu chang 	補償	c=1 d=1 t=2692
bu chi 	不喫	c=1 d=1 t=5027
bu chi 	不齒	c=0 d=0.100021 t=6714
bu chi dong xi 	不吃東西	c=1 d=1 t=4288
bu chong 	補充	c=0 d=0.1 t=6222
bu chong dan bai zhi 	補充蛋白質	c=1 d=1 t=6223
bu chong tu 	不衝突	c=1 d=1 t=11044
bu chu lai 	不出來	c=0 d=0.1 t=14009
bu cui 	不脆	c=1 d=1 t=7797
bu cun 	不存	c=1 d=1 t=6896
bu cuo 	不錯	c=8 d=1.01147 t=14266
bu cuo bu cuo 	不錯不錯	c=2 d=1 t=8455
bu cuo de 	不錯的	c=1 d=1 t=3698
bu da 	不大	c=2 d=1 t=11429
bu da 	不打	c=0 d=0.1 t=4174
bu da ban 	不打板	c=1 d=1 t=4175
bu da hao 	不大好	c=0 d=0.1 t=2258
bu dao 	不到	c=0 d=0.1 t=13037
bu diao 	不掉	c=1 d=1 t=4784
bu ding 	布丁	c=0 d=0.1 t=7568
bu ding tu chuang 	布丁圖牀	c=1 d=1 t=7569
bu dong 	不凍	c=1 d=1 t=8225
bu dong 	不動	c=1 d=1.00008 t=8411
bu dong le 	不動了	c=1 d=1 t=13551
bu dou 	不都	c=0 d=0.1 t=12575
bu dou hui qu mai 	不都會去買	c=1 d=1 t=12576
bu dui 	不對	c=3 d=1 t=16063
bu duo 	不多	c=1 d=1 t=10350
bu duo le 	不多了	c=2 d=1.97045 t=4659
bu e 	不餓	c=5 d=1 t=11475
bu e jiu hao 	不餓就好	c=1 d=1 t=1540
bu e jiu xing 	不餓就行	c=1 d=1 t=5304
bu e le 	不餓了	c=1 d=1 t=2661
bu fang 	不放	c=0 d=0.1 t=4211
bu fang bian 	不方便	c=1 d=1 t=15512
bu fang liang 	不放量	c=1 d=1 t=4212
bu fen 	部分	c=0 d=0.156553 t=14456
bu fen gang wei 	不分崗位	c=1 d=1 t=838
bu fu cong 	不服從	c=1 d=1 t=10474
bu fu ze 	不負責	c=1 d=1 t=13168
bu gai 	不改	c=1 d=1 t=11780
bu gan 	不幹	c=1 d=1 t=6529
bu gan 	不敢	c=1 d=1.09371 t=9902
bu gan na le 	不敢拿了	c=1 d=1 t=4198
bu gao 	不高	c=2 d=1 t=14832
bu gei 	不給	c=0 d=0.1 t=10258
bu gei jie jue 	不給解決	c=1 d=1 t=4261
bu gei zhang 	不給漲	c=1 d=1 t=10259
bu gou 	不夠	c=2 d=0.144379 t=14808
bu gou le 	不夠了	c=1 d=1 t=14809
bu guan 	不管	c=0 d=0.1 t=12447
bu guang 	不光	c=0 d=0.1 t=5859
bu guang shi 	不光是	c=0 d=0.1 t=2557
bu guang shi hai zi 	不光是孩子	c=1 d=1 t=2558
bu guang si qi 	不光私企	c=1 d=1 t=5860
bu gui ze 	不規則	c=0 d=0.1 t=8088
bu guo 	不過	c=45 d=1.06995 t=15614
bu guo fen ba 	不過分吧	c=1 d=1 t=12274
bu guo yi hou 	不過以後	c=1 d=1 t=9391
bu hai shi 	不還是	c=1 d=1 t=7627
bu hao 	不好	c=6 d=0.10961 t=12409
bu hao ba wo fang xiang 	不好把握方向	c=1 d=1 t=6455
bu hao chi 	不好喫	c=4 d=1.83139 t=7793
bu hao da 	不好打	c=1 d=1 t=1492
bu hao shuo 	不好說	c=4 d=1.19484 t=12001
bu hao ting 	不好聽	c=1 d=1 t=13956
bu hao yi si 	不好意思	c=2 d=1.00115 t=3038
bu hao zhao 	不好找	c=1 d=1 t=548
bu he 	不合	c=1 d=1 t=12566
bu he ge 	不合格	c=1 d=1 t=14442
bu he shi 	不合適	c=1 d=1 t=1863
bu hui 	不會	c=7 d=1.98185 t=15071
bu hui ba 	不會吧	c=5 d=1 t=12462
bu hui chi kui 	不會喫虧	c=1 d=1 t=14448
bu hui de 	不會的	c=1 d=1 t=4725
bu hui kan 	不會看	c=1 d=1 t=12523
bu hui le 	不回了	c=0 d=0.1 t=8382
bu hui qu 	不回去	c=1 d=1 t=1790
bu ji 	不急	c=4 d=1.00233 t=13743
bu ji ji 	不積極	c=1 d=1 t=7087
bu ji shi 	不及時	c=0 d=0.1 t=14615
bu ji shi guan bi 	不及時關閉	c=1 d=1 t=14616
bu jia 	補假	c=1 d=1 t=3339
bu jian 	不建	c=1 d=1 t=164
bu jian ding 	不堅定	c=1 d=1 t=11878
bu jiao 	補繳	c=1 d=1 t=13344
bu jiu 	不久	c=2 d=1.15645 t=15043
bu jiu 	不就	c=2 d=1 t=12288
bu jiu 	補救	c=1 d=1 t=1113
bu jiu shi 	不就是	c=1 d=1 t=9419
bu jiu zhi dao le 	不就知道了	c=1 d=1 t=15061
bu kai 	不開	c=0 d=0.1 t=8354
bu kan kan 	不看看	c=1 d=1 t=10512
bu ke neng 	不可能	c=2 d=1 t=12346
bu ke qi 	不客氣	c=1 d=1 t=7118
bu ku 	不哭	c=0 d=0.1 t=2487
bu lai 	不來	c=0 d=0.1 t=14980
bu lao shao 	不老少	c=1 d=1.099 t=13387
bu lao shao le ba 	不老少了吧	c=1 d=1 t=13386
bu le 	不了	c=1 d=1 t=8988
bu liao 	不了	c=3 d=1 t=12174
bu mai 	不買	c=1 d=0.1 t=6419
bu mai chu qu 	不賣出去	c=1 d=1 t=11030
bu mai le 	不賣了	c=0 d=0.1 t=13145
bu mang 	不忙	c=0 d=0.1 t=16037
bu mang ba 	不忙吧	c=1 d=1 t=8931
bu mang de hua 	不忙的話	c=1 d=1 t=16038
bu me 	不麼	c=1 d=1 t=14003
bu men 	部門	c=3 d=1 t=4842
bu nan shou 	不難受	c=1 d=1 t=8010
bu neng 	不能	c=2 d=1 t=7818
bu neng ba 	不能吧	c=1 d=1 t=839
bu neng fa 	不能發	c=1 d=1 t=12511
bu neng guo da 	不能過大	c=1 d=1 t=6445
bu neng he 	不能喝	c=1 d=1 t=6861
bu neng le 	不能了	c=1 d=1 t=15936
bu neng tai lei o 	不能太累哦	c=1 d=1 t=1841
bu neng yong 	不能用	c=1 d=1 t=14217
bu neng yong le 	不能用了	c=1 d=1 t=15815
bu pa 	不怕	c=1 d=1 t=6539
bu pi pei 	不匹配	c=1 d=1 t=14658
bu pian yi 	不便宜	c=0 d=0.1 t=13532
bu pian yi a 	不便宜啊	c=1 d=1 t=13533
bu qiang 	不強	c=0 d=0.1 t=4989
bu qing 	不清	c=0 d=0.1 t=6458
bu qing chu 	不清楚	c=3 d=1.04005 t=15728
bu qing chu ne 	不清楚呢	c=1 d=1 t=6472
bu qu 	不去	c=0 d=0.1 t=9525
bu qu de hua 	不去的話	c=1 d=1 t=4730
bu qu mai 	不去買	c=1 d=1 t=1312
bu que 	不確	c=0 d=0.1 t=11348
bu que ding 	不確定	c=3 d=0.1 t=16089
bu que ding ne 	不確定呢	c=1 d=1 t=11980
bu que yi 	不確一	c=1 d=1 t=11349
bu ran 	不然	c=11 d=1.00716 t=14277
bu rang 	不讓	c=1 d=1 t=4601
bu rang wo 	不讓我	c=1 d=1 t=1379
bu ren 	不忍	c=1 d=1 t=6196
bu rong yi 	不容易	c=2 d=1 t=10174
bu ru 	不如	c=1 d=1 t=10811
bu shang 	不上	c=1 d=0.1 t=10041
bu shang le 	不上了	c=0 d=0.1 t=59
bu shao 	不少	c=0 d=0.100775 t=11457
bu shao le 	不少了	c=1 d=1 t=1554
bu shen 	不甚	c=0 d=0.1 t=12351
bu sheng ji 	不升級	c=1 d=1 t=14867
bu shi 	不是	c=39 d=1.60644 t=16064
bu shi a 	不是啊	c=1 d=1 t=13001
bu shi bu shi 	不是不是	c=1 d=1 t=5523
bu shi hen gao 	不是很高	c=1 d=1 t=14749
bu shi shuo 	不是說	c=1 d=1 t=16203
bu shi wo 	不是我	c=1 d=1 t=6276
bu shi yi ban ren 	不是一般人	c=1 d=1 t=5564
bu shi zai zan men qun li me 	不是在咱們羣裏麼	c=1 d=1 t=12297
bu shu 	不熟	c=1 d=0.462402 t=13629
bu shu 	部署	c=5 d=1.00842 t=15164
bu shu fu 	不舒服	c=5 d=1.02117 t=9043
bu shu le 	部署了	c=1 d=1 t=15358
bu shu wan bi 	部署完畢	c=1 d=1 t=14670
bu shu xi 	不熟悉	c=1 d=1 t=14211
bu shui 	不水	c=1 d=1 t=563
bu shuo bie de 	不說別的	c=1 d=1 t=14390
bu shuo le 	不說了	c=1 d=1 t=10516
bu suan 	不算	c=0 d=0.100031 t=14423
bu suan hei 	不算黑	c=1 d=1 t=12808
bu suan te bie can 	不算特別慘	c=1 d=1 t=14424
bu tai 	不太	c=0 d=0.164726 t=14933
bu tai dong 	不太懂	c=0 d=0.1 t=4379
bu tai fang bian 	不太方便	c=1 d=1 t=13895
bu tai gou 	不太夠	c=1 d=1 t=8756
bu tai hao 	不太好	c=1 d=1 t=6451
bu tai he shi ba 	不太合適吧	c=1 d=1 t=1947
bu tai hui 	不太會	c=1 d=1 t=11787
bu tai kuai de 	不太快的	c=1 d=1 t=14934
bu tai qing chu 	不太清楚	c=2 d=1.06687 t=6047
bu tai shu xi 	不太熟悉	c=1 d=1 t=13423
bu tai xiang 	不太想	c=0 d=0.1 t=6448
bu tai xiang shang 	不太想上	c=1 d=1 t=6449
bu tai xing 	不太行	c=3 d=0.129748 t=8119
bu tai xing de hua 	不太行的話	c=1 d=1 t=8120
bu tai xing le 	不太行了	c=1 d=1 t=3240
bu ti xing 	不提醒	c=1 d=1 t=9990
bu tian 	不甜	c=1 d=1 t=1077
bu tian jia le 	不添加了	c=1 d=1 t=2414
bu tie 	補貼	c=2 d=0.232823 t=13384
bu tie 	補鐵	c=1 d=1 t=1576
bu tong 	不同	c=0 d=0.1 t=385
bu tong 	不通	c=1 d=1 t=388
bu tong di qu 	不同地區	c=1 d=1 t=15999
bu tou ming 	不透明	c=1 d=1 t=3011
bu tu 	不吐	c=0 d=0.1 t=3655
bu tui jian 	不推薦	c=1 d=1 t=1194
bu wan 	不玩	c=1 d=1 t=3465
bu wan le 	不玩了	c=3 d=2.82547 t=1422
bu wen 	不問	c=0 d=0.1 t=15320
bu wen ding 	不穩定	c=0 d=0.1 t=11640
bu wen le 	不問了	c=2 d=1.98511 t=15324
bu xi huan 	不喜歡	c=1 d=1 t=6355
bu xia 	不下	c=0 d=0.199005 t=1911
bu xia qu 	不下去	c=0 d=0.1 t=14417
bu xian shi 	不顯示	c=1 d=1 t=1774
bu xiang 	不想	c=3 d=1 t=6397
bu xiang qu 	不想去	c=1 d=1 t=1361
bu xiang zhe teng le 	不想折騰了	c=1 d=1 t=12741
bu xin xian 	不新鮮	c=0 d=0.1 t=7709
bu xin xian de 	不新鮮的	c=1 d=1 t=6192
bu xing 	不行	c=8 d=0.100017 t=15683
bu xing a 	不行啊	c=2 d=1 t=7807
bu xing ba 	不行吧	c=1 d=1 t=1310
bu xing de hua 	不行的話	c=4 d=1 t=12188
bu xing jiu 	不行就	c=1 d=1 t=3869
bu xing le 	不行了	c=2 d=1.04036 t=4508
bu xing me 	不行麼	c=2 d=1 t=13908
bu xing na ge 	不行那個	c=1 d=1 t=4436
bu xing zai jia shang 	不行再加上	c=1 d=1 t=322
bu xing zai jie hui lai 	不行再接回來	c=1 d=1 t=4206
bu xiu 	不秀	c=1 d=1 t=8368
bu xu 	不續	c=2 d=1.05416 t=8874
bu xu yao 	不需要	c=3 d=1.00002 t=14577
bu yao 	不要	c=9 d=1.01087 t=15340
bu yao e zhe 	不要餓着	c=1 d=1 t=3101
bu yao ji 	不要急	c=1 d=1 t=3292
bu yao pa 	不要怕	c=1 d=1 t=5663
bu yao shuo yi qian le 	不要說以前了	c=1 d=1 t=14412
bu yao yi lun 	不要議論	c=2 d=1.96561 t=12413
bu ye 	補液	c=0 d=0.1 t=1280
bu ye dei 	補液得	c=1 d=1 t=1281
bu ye shi 	不也是	c=1 d=1 t=6855
bu yi ding 	不一定	c=1 d=1.00016 t=13883
bu yi ding shi 	不一定是	c=2 d=1 t=10900
bu yi ding you mai 	不一定有賣	c=1 d=1 t=12321
bu yi ding zen me yang 	不一定怎麼樣	c=1 d=1 t=12532
bu yi wei yi 	不以爲意	c=1 d=1 t=14974
bu yi yang 	不一樣	c=6 d=1.00204 t=13863
bu yi yang de hua 	不一樣的話	c=1 d=1 t=13277
bu ying gai bu ying xiang 	不應該不影響	c=1 d=1 t=13279
bu ying xiang 	不影響	c=1 d=1 t=15345
bu ying xiang ba 	不影響吧	c=1 d=1 t=15003
bu yong 	不用	c=13 d=0.1 t=11058
bu yong ba 	不用吧	c=1 d=1 t=5578
bu yong da li ta 	不用打理他	c=1 d=1 t=11506
bu yong dan xin 	不用擔心	c=1 d=1 t=4224
bu yong de hua 	不用的話	c=1 d=1 t=5444
bu yong guan a 	不用管啊	c=1 d=1 t=6904
bu yong hui yuan 	不用會員	c=1 d=1 t=8640
bu yong xiu 	不用修	c=1 d=0.114122 t=4043
bu yong xiu le 	不用修了	c=2 d=1.90937 t=4063
bu yong zhao 	不用找	c=1 d=1 t=2960
bu you hao 	不友好	c=1 d=1 t=15807
bu yuan 	不遠	c=1 d=1 t=6485
bu yun xu me 	不允許麼	c=1 d=1 t=1315
bu za 	不雜	c=1 d=1 t=6702
bu zai 	不在	c=0 d=0.1 t=11082
bu zai le 	不在了	c=3 d=1.87811 t=8983
